evaluation_true_class,candidate,rank,feature,feature_value,shap_value,engineering_explanation
nominal,nominal,1,battery_innovation_v,-0.0289132556170308,0.025531198477254685,The battery EKF voltage innovation was -0.0289 V. This model mismatch contributed toward Nominal spacecraft operation (SHAP +0.0255).
nominal,nominal,2,rule_detected,0.0,0.02514146996419919,The rule-based detector remained nominal; this contributed toward Nominal spacecraft operation (SHAP +0.0251).
nominal,nominal,3,rule_pred_battery_voltage_sensor_drift,0.0,0.02444147300270425,The rule-based detector did not identify Battery-voltage sensor drift. The absence of this competing diagnosis supported Nominal spacecraft operation (SHAP +0.0244).
nominal,nominal,4,physics_confidence,1.0,0.02295198979093059,Physics/model confidence was 1.000; this evidence pushed the classifier toward Nominal spacecraft operation (SHAP +0.0230).
nominal,nominal,5,rule_confidence,1.0,0.02048351997450729,Rule-based confidence was 1.000; this evidence pushed the classifier toward Nominal spacecraft operation (SHAP +0.0205).
nominal,battery_degradation,1,wheel_temp_measured,22.51502049786438,0.030979506579624883,The measured reaction-wheel temperature was 22.5150 °C. The classifier used this operating value as evidence for Battery degradation (SHAP +0.0310).
nominal,battery_degradation,2,rule_pred_battery_voltage_sensor_drift,0.0,0.03010282698204828,The rule-based detector did not identify Battery-voltage sensor drift. The absence of this competing diagnosis supported Battery degradation (SHAP +0.0301).
nominal,battery_degradation,3,electronics_temp_measured,26.02414172284033,0.023653106363393493,The measured electronics temperature was 26.0241 °C. The classifier used this operating value as evidence for Battery degradation (SHAP +0.0237).
nominal,battery_degradation,4,ml_thermal_ratio,0.7230571646656861,0.022237535127308937,"The thermal ML anomaly ratio was 0.723, below the learned anomaly boundary. Its pattern contributed toward Battery degradation (SHAP +0.0222)."
nominal,battery_degradation,5,physics_pred_reaction_wheel_degradation,0.0,0.021628233873800265,The physics/model detector did not identify Reaction-wheel degradation. The absence of this competing diagnosis supported Battery degradation (SHAP +0.0216).
solar_array_degradation,solar_array_degradation,1,battery_soc_measured,59.833191086912805,0.04515841982087354,The measured battery state of charge was 59.8332 %. The classifier used this operating value as evidence for Solar-array degradation (SHAP +0.0452).
solar_array_degradation,solar_array_degradation,2,battery_current_measured,12.051959036401437,0.04275269684466162,The measured battery current was 12.0520 A. The classifier used this operating value as evidence for Solar-array degradation (SHAP +0.0428).
solar_array_degradation,solar_array_degradation,3,battery_voltage_measured,28.36429475788797,0.041638890847800605,The measured battery voltage was 28.3643 V. The classifier used this operating value as evidence for Solar-array degradation (SHAP +0.0416).
solar_array_degradation,solar_array_degradation,4,ml_thermal_ratio,0.9259448795653208,0.03268378661561332,"The thermal ML anomaly ratio was 0.926, below the learned anomaly boundary. Its pattern contributed toward Solar-array degradation (SHAP +0.0327)."
solar_array_degradation,solar_array_degradation,5,solar_power_w,0.0,0.029278364275320136,Solar power w had value 0.0000 and contributed toward Solar-array degradation (SHAP +0.0293).
solar_array_degradation,battery_degradation,1,ml_battery_ratio,1.0005254822453808,0.027849738713988336,"The battery ML anomaly ratio was 1.001, above the learned anomaly boundary. Its pattern contributed toward Battery degradation (SHAP +0.0278)."
solar_array_degradation,battery_degradation,2,rule_pred_battery_voltage_sensor_drift,0.0,0.025824627154474752,The rule-based detector did not identify Battery-voltage sensor drift. The absence of this competing diagnosis supported Battery degradation (SHAP +0.0258).
solar_array_degradation,battery_degradation,3,physics_pred_reaction_wheel_degradation,0.0,0.019161050271680264,The physics/model detector did not identify Reaction-wheel degradation. The absence of this competing diagnosis supported Battery degradation (SHAP +0.0192).
solar_array_degradation,battery_degradation,4,battery_voltage_measured,28.36429475788797,0.01879639775009774,The measured battery voltage was 28.3643 V. The classifier used this operating value as evidence for Battery degradation (SHAP +0.0188).
solar_array_degradation,battery_degradation,5,battery_soc_measured,59.833191086912805,0.01346389186201256,The measured battery state of charge was 59.8332 %. The classifier used this operating value as evidence for Battery degradation (SHAP +0.0135).
battery_degradation,battery_degradation,1,battery_innovation_v,-0.0786289655468372,0.07402147341380369,The battery EKF voltage innovation was -0.0786 V. This model mismatch contributed toward Battery degradation (SHAP +0.0740).
battery_degradation,battery_degradation,2,battery_temp_measured,25.287794119112974,0.042483346047309425,The measured battery temperature was 25.2878 °C. The classifier used this operating value as evidence for Battery degradation (SHAP +0.0425).
battery_degradation,battery_degradation,3,rule_pred_battery_voltage_sensor_drift,0.0,0.02839717257777619,The rule-based detector did not identify Battery-voltage sensor drift. The absence of this competing diagnosis supported Battery degradation (SHAP +0.0284).
battery_degradation,battery_degradation,4,physics_pred_reaction_wheel_degradation,0.0,0.02087518617524946,The physics/model detector did not identify Reaction-wheel degradation. The absence of this competing diagnosis supported Battery degradation (SHAP +0.0209).
battery_degradation,battery_degradation,5,electronics_temp_measured,25.891638057786693,0.01833407597937452,The measured electronics temperature was 25.8916 °C. The classifier used this operating value as evidence for Battery degradation (SHAP +0.0183).
battery_degradation,nominal,1,ml_battery_ratio,0.8163726946668532,0.027092645354163388,"The battery ML anomaly ratio was 0.816, below the learned anomaly boundary. Its pattern contributed toward Nominal spacecraft operation (SHAP +0.0271)."
battery_degradation,nominal,2,rule_pred_battery_voltage_sensor_drift,0.0,0.026215881838891942,The rule-based detector did not identify Battery-voltage sensor drift. The absence of this competing diagnosis supported Nominal spacecraft operation (SHAP +0.0262).
battery_degradation,nominal,3,physics_confidence,1.0,0.024858654608675132,Physics/model confidence was 1.000; this evidence pushed the classifier toward Nominal spacecraft operation (SHAP +0.0249).
battery_degradation,nominal,4,rule_detected,0.0,0.02407407291692762,The rule-based detector remained nominal; this contributed toward Nominal spacecraft operation (SHAP +0.0241).
battery_degradation,nominal,5,physics_detected,0.0,0.021449045190260647,The physics/model detector remained nominal; this contributed toward Nominal spacecraft operation (SHAP +0.0214).
