type,path,exists
directory,data,True
directory,data/nominal,True
directory,data/faults,True
directory,data/monte_carlo,True
directory,src,True
directory,src/simulation,True
directory,src/faults,True
directory,src/estimation,True
directory,src/detection,True
directory,src/diagnosis,True
directory,experiments,True
directory,results,True
directory,results/tables,True
directory,results/figures,True
directory,results/models,True
directory,results/reports,True
file,README.md,True
file,REPRODUCIBILITY.md,True
file,requirements.txt,True
file,src/simulation/power_model.py,True
file,src/simulation/thermal_model.py,True
file,src/simulation/reaction_wheel_model.py,True
file,src/simulation/sensor_model.py,True
file,src/simulation/spacecraft_simulator.py,True
file,src/faults/fault_manager.py,True
file,src/faults/sensor_faults.py,True
file,src/estimation/battery_ekf.py,True
file,src/detection/rule_based_detector.py,True
file,src/detection/model_based_detector_refined.py,True
file,src/detection/hybrid_fusion.py,True
file,src/diagnosis/diagnostic_features.py,True
file,src/diagnosis/random_forest_diagnoser.py,True
file,src/diagnosis/confidence_aware_diagnoser.py,True
file,results/models/experiment_031_regime_balanced_subsystem_iforest.joblib,True
file,results/models/experiment_037_random_forest_diagnoser.joblib,True
file,results/tables/experiment_035_phase6_final_comparison.csv,True
file,results/tables/experiment_040_phase7_final_summary.csv,True
file,results/tables/experiment_045_phase8_final_summary.csv,True
file,results/tables/experiment_047_monte_carlo_manifest.csv,True
file,results/tables/experiment_048_detection_method_metrics.csv,True
file,results/tables/experiment_050_confidence_gate_summary.csv,True
file,results/tables/experiment_051_monte_carlo_xai_samples.csv,True
file,results/tables/experiment_052_phase9_final_summary.csv,True
file,results/tables/experiment_053_master_research_results.csv,True
file,results/tables/experiment_055_repository_manifest.csv,True
file,results/figures/experiment_053_final_detection_comparison.png,True
file,results/figures/experiment_053_diagnosis_generalization.png,True
file,results/figures/experiment_053_xai_generalization.png,True
file,results/figures/experiment_054_sentinel_xai_architecture.png,True
file,results/figures/experiment_054_research_evolution.png,True
file,results/figures/experiment_054_research_contributions.png,True
file,results/reports/experiment_053_final_research_summary.txt,True
file,results/reports/experiment_055_packaging_summary.txt,True
